match_id,tournament_id,match_number,round,team_a_name,team_b_name,match_date,match_time,server_id,score_a,score_b,winner_team_name,completed
1,1,1,R16,SegFault Spartans,NullPointer Ninjas,2025-12-06,10:00,SRV-PEPSI,2,0,SegFault Spartans,TRUE
2,1,2,R16,OffByOne Offense,Pepsi Max Punishers,2025-12-06,10:00,SRV-CHUCK,1,2,Pepsi Max Punishers,TRUE
3,1,3,R16,Chuck Norris Fan Club,IndentationError Invaders,2025-12-06,10:00,SRV-DATALAB,2,0,Chuck Norris Fan Club,TRUE
4,1,4,R16,Assembly Avengers,Datalab Dominators,2025-12-06,10:00,SRV-BOMBLAB,2,1,Assembly Avengers,TRUE
5,1,5,R16,Bomblab Bombers,StackOverflow Stackers,2025-12-06,11:30,SRV-PEPSI,0,2,StackOverflow Stackers,TRUE
6,1,6,R16,CacheHit Crusaders,WhileTrue Tryhards,2025-12-06,11:30,SRV-CHUCK,2,1,CacheHit Crusaders,TRUE
7,1,7,R16,Segmentation Foul,RaceCondition Racers,2025-12-06,11:30,SRV-DATALAB,0,2,RaceCondition Racers,TRUE
8,1,8,R16,Undefined Behavior United,Pepsi Max Overflow,2025-12-06,11:30,SRV-BOMBLAB,1,2,Pepsi Max Overflow,TRUE
9,1,1,QF,SegFault Spartans,Pepsi Max Punishers,2025-12-06,14:00,SRV-PEPSI,2,1,SegFault Spartans,TRUE
10,1,2,QF,Chuck Norris Fan Club,Assembly Avengers,2025-12-06,14:00,SRV-CHUCK,2,0,Chuck Norris Fan Club,TRUE
11,1,3,QF,StackOverflow Stackers,CacheHit Crusaders,2025-12-06,14:00,SRV-DATALAB,0,2,CacheHit Crusaders,TRUE
12,1,4,QF,RaceCondition Racers,Pepsi Max Overflow,2025-12-06,14:00,SRV-BOMBLAB,2,1,RaceCondition Racers,TRUE
13,1,1,SF,SegFault Spartans,Chuck Norris Fan Club,2025-12-07,10:00,SRV-PEPSI,0,2,Chuck Norris Fan Club,TRUE
14,1,2,SF,CacheHit Crusaders,RaceCondition Racers,2025-12-07,10:00,SRV-CHUCK,1,2,RaceCondition Racers,TRUE
15,1,1,Final,Chuck Norris Fan Club,RaceCondition Racers,2025-12-07,13:00,SRV-PEPSI,3,2,Chuck Norris Fan Club,TRUE
16,2,1,R16,BitShift Buccaneers,Heisenbug Hunters,1,08:00,1,0,0,,FALSE
17,2,2,R16,Kernel Panic Pirates,Deadlock Dragons,1,09:30,2,0,0,,FALSE
18,2,3,R16,Quantum Bit Breakers,Overflow Outlaws,1,11:00,3,0,0,,FALSE
19,2,4,R16,Infinite Loop Legion,Pointer Arithmetic Aces,1,12:30,4,0,0,,FALSE
20,2,5,R16,Checksum Sentinels,Virtual Machine Vikings,1,14:00,5,0,0,,FALSE
21,2,6,R16,Memory Leak Marauders,Runtime Error Rebels,1,15:30,6,0,0,,FALSE
22,2,7,R16,ThreadSafe Titans,BlueScreen Brawlers,1,17:00,7,0,0,,FALSE
23,2,8,R16,Garbage Collector Guild,CompileTime Crushers,1,18:30,8,0,0,,FALSE
