tournament_name,day,time,team_a,team_b
RU's Glorious e-Sport Extravaganza 2025,1,08:00,StackOverflow Stackers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,1,10:00,NullPointer Ninjas,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,1,12:00,NullPointer Ninjas,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,1,14:00,WhileTrue Tryhards,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,1,16:00,NullPointer Ninjas,Pepsi Max Punishers
RU's Glorious e-Sport Extravaganza 2025,1,18:00,RaceCondition Racers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,1,20:00,Chuck Norris Fan Club,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,2,08:00,IndentationError Invaders,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,2,10:00,Undefined Behavior United,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,12:00,StackOverflow Stackers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,14:00,Segmentation Foul,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,16:00,Chuck Norris Fan Club,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,2,18:00,IndentationError Invaders,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,2,20:00,Pepsi Max Punishers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,3,08:00,RaceCondition Racers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,3,10:00,CacheHit Crusaders,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,3,12:00,OffByOne Offense,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,3,14:00,Pepsi Max Punishers,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,3,16:00,SegFault Spartans,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,3,18:00,Pepsi Max Punishers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,3,20:00,IndentationError Invaders,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,08:00,SegFault Spartans,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,4,10:00,Bomblab Bombers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,12:00,OffByOne Offense,Pepsi Max Punishers
RU's Glorious e-Sport Extravaganza 2025,4,14:00,Chuck Norris Fan Club,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,16:00,SegFault Spartans,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,4,18:00,Chuck Norris Fan Club,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,4,20:00,Chuck Norris Fan Club,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,08:00,Pepsi Max Punishers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,5,10:00,CacheHit Crusaders,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,12:00,OffByOne Offense,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,5,14:00,Datalab Dominators,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,16:00,Pepsi Max Punishers,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,5,18:00,SegFault Spartans,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,5,20:00,Datalab Dominators,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,6,08:00,Assembly Avengers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,6,10:00,OffByOne Offense,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,6,12:00,SegFault Spartans,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,6,14:00,IndentationError Invaders,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,6,16:00,StackOverflow Stackers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,6,18:00,Segmentation Foul,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,6,20:00,Datalab Dominators,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,7,08:00,NullPointer Ninjas,Chuck Norris Fan Club
RU's Glorious e-Sport Extravaganza 2025,7,10:00,Pepsi Max Punishers,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,7,12:00,WhileTrue Tryhards,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,7,14:00,CacheHit Crusaders,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,7,16:00,Chuck Norris Fan Club,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,7,18:00,SegFault Spartans,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,7,20:00,Datalab Dominators,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,8,08:00,OffByOne Offense,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,8,10:00,Pepsi Max Punishers,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,8,12:00,SegFault Spartans,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,8,14:00,NullPointer Ninjas,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,8,16:00,WhileTrue Tryhards,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,8,18:00,Bomblab Bombers,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,8,20:00,Bomblab Bombers,Pepsi Max Overflow
